itemID,name,slot,subType,quality,itemLevel,requiredLevel,requiredSkill,expansion,source,profession,specialization,skill,classes,binding,recipeSpellID,itemURL,recipeURL
3471,Copper Chain Vest,Chest,Mail Armor,Uncommon,10,5,,Classic,World Drop,Blacksmithing,,35,,BoE,3321,https://www.wowhead.com/wotlk/item=3471,https://www.wowhead.com/wotlk/spell=3321
33791,Heavy Copper Longsword,One-Hand,One-Handed Swords,Uncommon,11,6,,The Burning Crusade,Quest,Blacksmithing,,35,,BoE,43549,https://www.wowhead.com/wotlk/item=33791,https://www.wowhead.com/wotlk/spell=43549
3472,Runed Copper Gauntlets,Hands,Mail Armor,Uncommon,12,7,,Classic,Trainer,Blacksmithing,,40,,BoE,3323,https://www.wowhead.com/wotlk/item=3472,https://www.wowhead.com/wotlk/spell=3323
3488,Copper Battle Axe,Two-Hand,Two-Handed Axes,Uncommon,13,8,,Classic,Trainer,Blacksmithing,,35,,BoE,3293,https://www.wowhead.com/wotlk/item=3488,https://www.wowhead.com/wotlk/spell=3293
3473,Runed Copper Pants,Legs,Mail Armor,Uncommon,13,8,,Classic,Trainer,Blacksmithing,,45,,BoE,3324,https://www.wowhead.com/wotlk/item=3473,https://www.wowhead.com/wotlk/spell=3324
3474,Gemmed Copper Gauntlets,Hands,Mail Armor,Uncommon,15,10,,Classic,World Drop,Blacksmithing,,60,,BoE,3325,https://www.wowhead.com/wotlk/item=3474,https://www.wowhead.com/wotlk/spell=3325
6214,Heavy Copper Maul,Two-Hand,Two-Handed Maces,Uncommon,16,11,,Classic,Trainer,Blacksmithing,,65,,BoE,7408,https://www.wowhead.com/wotlk/item=6214,https://www.wowhead.com/wotlk/spell=7408
3489,Thick War Axe,One-Hand,One-Handed Axes,Uncommon,17,12,,Classic,Trainer,Blacksmithing,,70,,BoE,3294,https://www.wowhead.com/wotlk/item=3489,https://www.wowhead.com/wotlk/spell=3294
6350,Rough Bronze Boots,Feet,Mail Armor,Uncommon,18,13,,Classic,Trainer,Blacksmithing,,95,,BoE,7817,https://www.wowhead.com/wotlk/item=6350,https://www.wowhead.com/wotlk/spell=7817
2857,Runed Copper Belt,Waist,Mail Armor,Uncommon,18,13,,Classic,Trainer,Blacksmithing,,70,,BoE,2666,https://www.wowhead.com/wotlk/item=2857,https://www.wowhead.com/wotlk/spell=2666
2864,Runed Copper Breastplate,Chest,Mail Armor,Uncommon,18,13,,Classic,World Drop,Blacksmithing,,80,,BoE,2667,https://www.wowhead.com/wotlk/item=2864,https://www.wowhead.com/wotlk/spell=2667
3487,Heavy Copper Broadsword,Two-Hand,Two-Handed Swords,Uncommon,19,14,,Classic,Trainer,Blacksmithing,,95,,BoE,3292,https://www.wowhead.com/wotlk/item=3487,https://www.wowhead.com/wotlk/spell=3292
2854,Runed Copper Bracers,Wrist,Mail Armor,Uncommon,19,14,,Classic,Trainer,Blacksmithing,,90,,BoE,2664,https://www.wowhead.com/wotlk/item=2854,https://www.wowhead.com/wotlk/spell=2664
