itemID,name,slot,subType,quality,itemLevel,requiredLevel,requiredSkill,expansion,source,profession,specialization,skill,classes,binding,recipeSpellID,itemURL,recipeURL
20906,Braided Copper Ring,Finger,Rings,Uncommon,15,10,,The Burning Crusade,Trainer,Jewelcrafting,,1,,BoE,25493,https://www.wowhead.com/wotlk/item=20906,https://www.wowhead.com/wotlk/spell=25493
21931,Woven Copper Ring,Finger,Rings,Uncommon,15,10,,The Burning Crusade,Trainer,Jewelcrafting,,1,,BoE,26925,https://www.wowhead.com/wotlk/item=21931,https://www.wowhead.com/wotlk/spell=26925
21932,Heavy Copper Ring,Finger,Rings,Uncommon,17,12,,The Burning Crusade,Trainer,Jewelcrafting,,5,,BoE,26926,https://www.wowhead.com/wotlk/item=21932,https://www.wowhead.com/wotlk/spell=26926
25438,Malachite Pendant,Neck,Amulets,Uncommon,18,13,,The Burning Crusade,Trainer,Jewelcrafting,,20,,BoE,32178,https://www.wowhead.com/wotlk/item=25438,https://www.wowhead.com/wotlk/spell=32178
25439,Tigerseye Band,Finger,Rings,Uncommon,18,13,,The Burning Crusade,Trainer,Jewelcrafting,,20,,BoE,32179,https://www.wowhead.com/wotlk/item=25439,https://www.wowhead.com/wotlk/spell=32179
20821,Inlaid Malachite Ring,Finger,Rings,Uncommon,20,15,,The Burning Crusade,Trainer,Jewelcrafting,,30,,BoE,25283,https://www.wowhead.com/wotlk/item=20821,https://www.wowhead.com/wotlk/spell=25283
21934,Ornate Tigerseye Necklace,Neck,Amulets,Uncommon,20,15,,The Burning Crusade,Trainer,Jewelcrafting,,30,,BoE,26928,https://www.wowhead.com/wotlk/item=21934,https://www.wowhead.com/wotlk/spell=26928
20818,Elegant Silver Ring,Finger,Rings,Uncommon,22,17,,The Burning Crusade,Trainer,Jewelcrafting,,50,,BoE,25280,https://www.wowhead.com/wotlk/item=20818,https://www.wowhead.com/wotlk/spell=25280
20820,Simple Pearl Ring,Finger,Rings,Uncommon,22,17,,The Burning Crusade,Trainer,Jewelcrafting,,60,,BoE,25284,https://www.wowhead.com/wotlk/item=20820,https://www.wowhead.com/wotlk/spell=25284
20907,Solid Bronze Ring,Finger,Rings,Uncommon,22,17,,The Burning Crusade,Trainer,Jewelcrafting,,50,,BoE,25490,https://www.wowhead.com/wotlk/item=20907,https://www.wowhead.com/wotlk/spell=25490
21933,Thick Bronze Necklace,Neck,Amulets,Uncommon,22,17,,The Burning Crusade,Trainer,Jewelcrafting,,50,,BoE,26927,https://www.wowhead.com/wotlk/item=21933,https://www.wowhead.com/wotlk/spell=26927
30804,Bronze Band of Force,Finger,Rings,Rare,23,18,,The Burning Crusade,Trainer,Jewelcrafting,,65,,BoE,37818,https://www.wowhead.com/wotlk/item=30804,https://www.wowhead.com/wotlk/spell=37818
20823,Gloom Band,Finger,Rings,Uncommon,24,19,,The Burning Crusade,Trainer,Jewelcrafting,,70,,BoE,25287,https://www.wowhead.com/wotlk/item=20823,https://www.wowhead.com/wotlk/spell=25287
30419,Brilliant Necklace,Neck,Amulets,Uncommon,25,20,,The Burning Crusade,Trainer,Jewelcrafting,,75,,BoE,36523,https://www.wowhead.com/wotlk/item=30419,https://www.wowhead.com/wotlk/spell=36523
