itemID,name,slot,subType,quality,itemLevel,requiredLevel,requiredSkill,expansion,source,profession,specialization,skill,classes,binding,recipeSpellID,itemURL,recipeURL
7280,Rugged Leather Pants,Legs,Leather Armor,Uncommon,11,6,,Classic,World Drop,Leatherworking,,35,,BoE,9064,https://www.wowhead.com/wotlk/item=7280,https://www.wowhead.com/wotlk/spell=9064
2300,Embossed Leather Vest,Chest,Leather Armor,Uncommon,12,7,,Classic,Trainer,Leatherworking,,40,,BoE,2160,https://www.wowhead.com/wotlk/item=2300,https://www.wowhead.com/wotlk/spell=2160
2310,Embossed Leather Cloak,Back,Cloaks,Uncommon,13,8,,Classic,Trainer,Leatherworking,,60,,BoE,2162,https://www.wowhead.com/wotlk/item=2310,https://www.wowhead.com/wotlk/spell=2162
4239,Embossed Leather Gloves,Hands,Leather Armor,Uncommon,13,8,,Classic,Trainer,Leatherworking,,55,,BoE,3756,https://www.wowhead.com/wotlk/item=4239,https://www.wowhead.com/wotlk/spell=3756
2311,White Leather Jerkin,Chest,Leather Armor,Uncommon,13,8,,Classic,World Drop,Leatherworking,,60,,BoE,2163,https://www.wowhead.com/wotlk/item=2311,https://www.wowhead.com/wotlk/spell=2163
7281,Light Leather Bracers,Wrist,Leather Armor,Uncommon,14,9,,Classic,Trainer,Leatherworking,,70,,BoE,9065,https://www.wowhead.com/wotlk/item=7281,https://www.wowhead.com/wotlk/spell=9065
2309,Embossed Leather Boots,Feet,Leather Armor,Uncommon,15,10,,Classic,Trainer,Leatherworking,,55,,BoE,2161,https://www.wowhead.com/wotlk/item=2309,https://www.wowhead.com/wotlk/spell=2161
4242,Embossed Leather Pants,Legs,Leather Armor,Uncommon,15,10,,Classic,Trainer,Leatherworking,,75,,BoE,3759,https://www.wowhead.com/wotlk/item=4242,https://www.wowhead.com/wotlk/spell=3759
2308,Fine Leather Cloak,Back,Cloaks,Uncommon,15,10,,Classic,Trainer,Leatherworking,,85,,BoE,2159,https://www.wowhead.com/wotlk/item=2308,https://www.wowhead.com/wotlk/spell=2159
2312,Fine Leather Gloves,Hands,Leather Armor,Uncommon,15,10,,Classic,World Drop,Leatherworking,,75,,BoE,2164,https://www.wowhead.com/wotlk/item=2312,https://www.wowhead.com/wotlk/spell=2164
4246,Fine Leather Belt,Waist,Leather Armor,Uncommon,16,11,,Classic,Trainer,Leatherworking,,80,,BoE,3763,https://www.wowhead.com/wotlk/item=4246,https://www.wowhead.com/wotlk/spell=3763
4243,Fine Leather Tunic,Chest,Leather Armor,Uncommon,17,12,,Classic,Trainer,Leatherworking,,85,,BoE,3761,https://www.wowhead.com/wotlk/item=4243,https://www.wowhead.com/wotlk/spell=3761
6466,Deviate Scale Cloak,Back,Cloaks,Uncommon,18,13,,Classic,Vendor,Leatherworking,,90,,BoE,7953,https://www.wowhead.com/wotlk/item=6466,https://www.wowhead.com/wotlk/spell=7953
2307,Fine Leather Boots,Feet,Leather Armor,Uncommon,18,13,,Classic,World Drop,Leatherworking,,90,,BoE,2158,https://www.wowhead.com/wotlk/item=2307,https://www.wowhead.com/wotlk/spell=2158
6709,Moonglow Vest,Chest,Leather Armor,Uncommon,18,13,,Classic,Quest,Leatherworking,,90,,BoE,8322,https://www.wowhead.com/wotlk/item=6709,https://www.wowhead.com/wotlk/spell=8322
5780,Murloc Scale Belt,Waist,Leather Armor,Uncommon,18,13,,Classic,"Vendor, Mob Drop, Dungeon Drop",Leatherworking,,90,,BoE,6702,https://www.wowhead.com/wotlk/item=5780,https://www.wowhead.com/wotlk/spell=6702
7282,Light Leather Pants,Legs,Leather Armor,Uncommon,19,14,,Classic,Trainer,Leatherworking,,95,,BoE,9068,https://www.wowhead.com/wotlk/item=7282,https://www.wowhead.com/wotlk/spell=9068
5781,Murloc Scale Breastplate,Chest,Leather Armor,Uncommon,19,14,,Classic,"Vendor, Mob Drop, Dungeon Drop",Leatherworking,,95,,BoE,6703,https://www.wowhead.com/wotlk/item=5781,https://www.wowhead.com/wotlk/spell=6703
7283,Black Whelp Cloak,Back,Cloaks,Uncommon,20,15,,Classic,Vendor,Leatherworking,,100,,BoE,9070,https://www.wowhead.com/wotlk/item=7283,https://www.wowhead.com/wotlk/spell=9070
20575,Black Whelp Tunic,Chest,Leather Armor,Uncommon,20,15,,Classic,Vendor,Leatherworking,,100,,BoE,24940,https://www.wowhead.com/wotlk/item=20575,https://www.wowhead.com/wotlk/spell=24940
2315,Dark Leather Boots,Feet,Leather Armor,Uncommon,20,15,,Classic,Trainer,Leatherworking,,100,,BoE,2167,https://www.wowhead.com/wotlk/item=2315,https://www.wowhead.com/wotlk/spell=2167
2317,Dark Leather Tunic,Chest,Leather Armor,Uncommon,20,15,,Classic,World Drop,Leatherworking,,100,,BoE,2169,https://www.wowhead.com/wotlk/item=2317,https://www.wowhead.com/wotlk/spell=2169
4244,Hillman's Leather Vest,Chest,Leather Armor,Uncommon,20,15,,Classic,World Drop,Leatherworking,,100,,BoE,3762,https://www.wowhead.com/wotlk/item=4244,https://www.wowhead.com/wotlk/spell=3762
6467,Deviate Scale Gloves,Hands,Leather Armor,Uncommon,21,16,,Classic,Vendor,Leatherworking,,105,,BoE,7954,https://www.wowhead.com/wotlk/item=6467,https://www.wowhead.com/wotlk/spell=7954
5958,Fine Leather Pants,Legs,Leather Armor,Uncommon,21,16,,Classic,World Drop,Leatherworking,,105,,BoE,7133,https://www.wowhead.com/wotlk/item=5958,https://www.wowhead.com/wotlk/spell=7133
2316,Dark Leather Cloak,Back,Cloaks,Uncommon,22,17,,Classic,Trainer,Leatherworking,,110,,BoE,2168,https://www.wowhead.com/wotlk/item=2316,https://www.wowhead.com/wotlk/spell=2168
5961,Dark Leather Pants,Legs,Leather Armor,Uncommon,23,18,,Classic,Trainer,Leatherworking,,115,,BoE,7135,https://www.wowhead.com/wotlk/item=5961,https://www.wowhead.com/wotlk/spell=7135
6468,Deviate Scale Belt,Waist,Leather Armor,Rare,23,18,,Classic,Quest,Leatherworking,,115,,BoE,7955,https://www.wowhead.com/wotlk/item=6468,https://www.wowhead.com/wotlk/spell=7955
7285,Nimble Leather Gloves,Hands,Leather Armor,Uncommon,24,19,,Classic,Trainer,Leatherworking,,120,,BoE,9074,https://www.wowhead.com/wotlk/item=7285,https://www.wowhead.com/wotlk/spell=9074
7284,Red Whelp Gloves,Hands,Leather Armor,Uncommon,24,19,,Classic,Vendor,Leatherworking,,120,,BoE,9072,https://www.wowhead.com/wotlk/item=7284,https://www.wowhead.com/wotlk/spell=9072
2314,Toughened Leather Armor,Chest,Leather Armor,Rare,24,19,,Classic,Trainer,Leatherworking,,120,,BoE,2166,https://www.wowhead.com/wotlk/item=2314,https://www.wowhead.com/wotlk/spell=2166
4249,Dark Leather Belt,Waist,Leather Armor,Uncommon,25,20,,Classic,Trainer,Leatherworking,,125,,BoE,3766,https://www.wowhead.com/wotlk/item=4249,https://www.wowhead.com/wotlk/spell=3766
7348,Fletcher's Gloves,Hands,Leather Armor,Rare,25,20,,Classic,Trainer,Leatherworking,,125,,BoE,9145,https://www.wowhead.com/wotlk/item=7348,https://www.wowhead.com/wotlk/spell=9145
4250,Hillman's Belt,Waist,Leather Armor,Uncommon,25,20,,Classic,World Drop,Leatherworking,,120,,BoE,3767,https://www.wowhead.com/wotlk/item=4250,https://www.wowhead.com/wotlk/spell=3767
4248,Dark Leather Gloves,Hands,Leather Armor,Uncommon,26,21,,Classic,World Drop,Leatherworking,,120,,BoE,3765,https://www.wowhead.com/wotlk/item=4248,https://www.wowhead.com/wotlk/spell=3765
4251,Hillman's Shoulders,Shoulder,Leather Armor,Uncommon,26,21,,Classic,Trainer,Leatherworking,,130,,BoE,3768,https://www.wowhead.com/wotlk/item=4251,https://www.wowhead.com/wotlk/spell=3768
7352,Earthen Leather Shoulders,Shoulder,Leather Armor,Uncommon,27,22,,Classic,Vendor,Leatherworking,,135,,BoE,9147,https://www.wowhead.com/wotlk/item=7352,https://www.wowhead.com/wotlk/spell=9147
7349,Herbalist's Gloves,Hands,Leather Armor,Uncommon,27,22,,Classic,Vendor,Leatherworking,,135,,BoE,9146,https://www.wowhead.com/wotlk/item=7349,https://www.wowhead.com/wotlk/spell=9146
4253,Toughened Leather Gloves,Hands,Leather Armor,Rare,27,22,,Classic,Trainer,Leatherworking,,135,,BoE,3770,https://www.wowhead.com/wotlk/item=4253,https://www.wowhead.com/wotlk/spell=3770
4252,Dark Leather Shoulders,Shoulder,Leather Armor,Uncommon,28,23,,Classic,World Drop,Leatherworking,,140,,BoE,3769,https://www.wowhead.com/wotlk/item=4252,https://www.wowhead.com/wotlk/spell=3769
7358,Pilferer's Gloves,Hands,Leather Armor,Uncommon,28,23,,Classic,World Drop,Leatherworking,,140,,BoE,9148,https://www.wowhead.com/wotlk/item=7358,https://www.wowhead.com/wotlk/spell=9148
7359,Heavy Earthen Gloves,Hands,Leather Armor,Uncommon,29,24,,Classic,World Drop,Leatherworking,,145,,BoE,9149,https://www.wowhead.com/wotlk/item=7359,https://www.wowhead.com/wotlk/spell=9149
4247,Hillman's Leather Gloves,Hands,Leather Armor,Uncommon,29,24,,Classic,Trainer,Leatherworking,,145,,BoE,3764,https://www.wowhead.com/wotlk/item=4247,https://www.wowhead.com/wotlk/spell=3764
4254,Barbaric Gloves,Hands,Leather Armor,Uncommon,30,25,,Classic,World Drop,Leatherworking,,150,,BoE,3771,https://www.wowhead.com/wotlk/item=4254,https://www.wowhead.com/wotlk/spell=3771
3719,Hillman's Cloak,Back,Cloaks,Uncommon,30,25,,Classic,Trainer,Leatherworking,,150,,BoE,3760,https://www.wowhead.com/wotlk/item=3719,https://www.wowhead.com/wotlk/spell=3760
4255,Green Leather Armor,Chest,Leather Armor,Uncommon,31,26,,Classic,Vendor,Leatherworking,,155,,BoE,3772,https://www.wowhead.com/wotlk/item=4255,https://www.wowhead.com/wotlk/spell=3772
18948,Barbaric Bracers,Wrist,Leather Armor,Rare,32,27,,Classic,Vendor,Leatherworking,,155,,BoE,23399,https://www.wowhead.com/wotlk/item=18948,https://www.wowhead.com/wotlk/spell=23399
4257,Green Leather Belt,Waist,Leather Armor,Uncommon,32,27,,Classic,Trainer,Leatherworking,,160,,BoE,3774,https://www.wowhead.com/wotlk/item=4257,https://www.wowhead.com/wotlk/spell=3774
5962,Guardian Pants,Legs,Leather Armor,Uncommon,32,27,,Classic,Trainer,Leatherworking,,160,,BoE,7147,https://www.wowhead.com/wotlk/item=5962,https://www.wowhead.com/wotlk/spell=7147
7373,Dusky Leather Leggings,Legs,Leather Armor,Uncommon,33,28,,Classic,World Drop,Leatherworking,,165,,BoE,9195,https://www.wowhead.com/wotlk/item=7373,https://www.wowhead.com/wotlk/spell=9195
4456,Raptor Hide Belt,Waist,Leather Armor,Uncommon,33,28,,Classic,Vendor,Leatherworking,,165,,BoE,4097,https://www.wowhead.com/wotlk/item=4456,https://www.wowhead.com/wotlk/spell=4097
4455,Raptor Hide Harness,Chest,Leather Armor,Uncommon,33,28,,Wrath of the Lich King,Vendor,Leatherworking,,165,,BoE,4096,https://www.wowhead.com/wotlk/item=4455,https://www.wowhead.com/wotlk/spell=4096
5963,Barbaric Leggings,Legs,Leather Armor,Uncommon,34,29,,Classic,Vendor,Leatherworking,,170,,BoE,7149,https://www.wowhead.com/wotlk/item=5963,https://www.wowhead.com/wotlk/spell=7149
4258,Guardian Belt,Waist,Leather Armor,Uncommon,34,29,,Classic,World Drop,Leatherworking,,170,,BoE,3775,https://www.wowhead.com/wotlk/item=4258,https://www.wowhead.com/wotlk/spell=3775
5782,Thick Murloc Armor,Chest,Leather Armor,Uncommon,34,29,,Classic,"Vendor, Mob Drop",Leatherworking,,170,,BoE,6704,https://www.wowhead.com/wotlk/item=5782,https://www.wowhead.com/wotlk/spell=6704
5964,Barbaric Shoulders,Shoulder,Leather Armor,Uncommon,35,30,,Classic,Trainer,Leatherworking,,175,,BoE,7151,https://www.wowhead.com/wotlk/item=5964,https://www.wowhead.com/wotlk/spell=7151
7374,Dusky Leather Armor,Chest,Leather Armor,Uncommon,35,30,,Classic,Trainer,Leatherworking,,175,,BoE,9196,https://www.wowhead.com/wotlk/item=7374,https://www.wowhead.com/wotlk/spell=9196
7375,Green Whelp Armor,Chest,Leather Armor,Uncommon,35,30,,Classic,World Drop,Leatherworking,,175,,BoE,9197,https://www.wowhead.com/wotlk/item=7375,https://www.wowhead.com/wotlk/spell=9197
