itemID,name,slot,subType,quality,itemLevel,requiredLevel,requiredSkill,expansion,source,profession,specialization,skill,classes,binding,recipeSpellID,itemURL,recipeURL
4343,Brown Linen Pants,Legs,Cloth Armor,Uncommon,10,5,,Classic,Trainer,Tailoring,,30,,BoE,3914,https://www.wowhead.com/wotlk/item=4343,https://www.wowhead.com/wotlk/spell=3914
6238,Brown Linen Robe,Chest,Cloth Armor,Uncommon,10,5,,Classic,Trainer,Tailoring,,30,,BoE,7623,https://www.wowhead.com/wotlk/item=6238,https://www.wowhead.com/wotlk/spell=7623
4307,Heavy Linen Gloves,Hands,Cloth Armor,Uncommon,10,5,,Classic,Trainer,Tailoring,,35,,BoE,3840,https://www.wowhead.com/wotlk/item=4307,https://www.wowhead.com/wotlk/spell=3840
2572,Red Linen Robe,Chest,Cloth Armor,Uncommon,10,5,,Classic,World Drop,Tailoring,,40,,BoE,2389,https://www.wowhead.com/wotlk/item=2572,https://www.wowhead.com/wotlk/spell=2389
6241,White Linen Robe,Chest,Cloth Armor,Uncommon,10,5,,Classic,Trainer,Tailoring,,30,,BoE,7624,https://www.wowhead.com/wotlk/item=6241,https://www.wowhead.com/wotlk/spell=7624
6240,Blue Linen Vest,Chest,Cloth Armor,Uncommon,12,7,,Classic,Vendor,Tailoring,,55,,BoE,7630,https://www.wowhead.com/wotlk/item=6240,https://www.wowhead.com/wotlk/spell=7630
4308,Green Linen Bracers,Wrist,Cloth Armor,Uncommon,12,7,,Classic,Trainer,Tailoring,,60,,BoE,3841,https://www.wowhead.com/wotlk/item=4308,https://www.wowhead.com/wotlk/spell=3841
6239,Red Linen Vest,Chest,Cloth Armor,Uncommon,12,7,,Classic,World Drop,Tailoring,,55,,BoE,7629,https://www.wowhead.com/wotlk/item=6239,https://www.wowhead.com/wotlk/spell=7629
2580,Reinforced Linen Cape,Back,Cloaks,Uncommon,12,7,,Classic,Trainer,Tailoring,,60,,BoE,2397,https://www.wowhead.com/wotlk/item=2580,https://www.wowhead.com/wotlk/spell=2397
2569,Linen Boots,Feet,Cloth Armor,Uncommon,13,8,,Classic,Trainer,Tailoring,,65,,BoE,2386,https://www.wowhead.com/wotlk/item=2569,https://www.wowhead.com/wotlk/spell=2386
2578,Barbaric Linen Vest,Chest,Cloth Armor,Uncommon,14,9,,Classic,Trainer,Tailoring,,70,,BoE,2395,https://www.wowhead.com/wotlk/item=2578,https://www.wowhead.com/wotlk/spell=2395
6242,Blue Linen Robe,Chest,Cloth Armor,Uncommon,14,9,,Classic,Vendor,Tailoring,,70,,BoE,7633,https://www.wowhead.com/wotlk/item=6242,https://www.wowhead.com/wotlk/spell=7633
4309,Handstitched Linen Britches,Legs,Cloth Armor,Uncommon,14,9,,Classic,Trainer,Tailoring,,70,,BoE,3842,https://www.wowhead.com/wotlk/item=4309,https://www.wowhead.com/wotlk/spell=3842
10047,Simple Kilt,Legs,Cloth Armor,Uncommon,15,10,,Classic,Trainer,Tailoring,,75,,BoE,12046,https://www.wowhead.com/wotlk/item=10047,https://www.wowhead.com/wotlk/spell=12046
4312,Soft-soled Linen Boots,Feet,Cloth Armor,Uncommon,16,11,,Classic,Trainer,Tailoring,,80,,BoE,3845,https://www.wowhead.com/wotlk/item=4312,https://www.wowhead.com/wotlk/spell=3845
2582,Green Woolen Vest,Chest,Cloth Armor,Uncommon,17,12,,Classic,Trainer,Tailoring,,85,,BoE,2399,https://www.wowhead.com/wotlk/item=2582,https://www.wowhead.com/wotlk/spell=2399
4310,Heavy Woolen Gloves,Hands,Cloth Armor,Uncommon,17,12,,Classic,Trainer,Tailoring,,85,,BoE,3843,https://www.wowhead.com/wotlk/item=4310,https://www.wowhead.com/wotlk/spell=3843
5542,Pearl-clasped Cloak,Back,Cloaks,Uncommon,19,14,,Classic,Trainer,Tailoring,,90,,BoE,6521,https://www.wowhead.com/wotlk/item=5542,https://www.wowhead.com/wotlk/spell=6521
2583,Woolen Boots,Feet,Cloth Armor,Uncommon,19,14,,Classic,Trainer,Tailoring,,95,,BoE,2401,https://www.wowhead.com/wotlk/item=2583,https://www.wowhead.com/wotlk/spell=2401
10048,Colorful Kilt,Legs,Cloth Armor,Uncommon,24,14,,Classic,World Drop,Tailoring,,120,,BoE,12047,https://www.wowhead.com/wotlk/item=10048,https://www.wowhead.com/wotlk/spell=12047
6263,Blue Overalls,Chest,Cloth Armor,Uncommon,20,15,,Classic,Vendor,Tailoring,,100,,BoE,7639,https://www.wowhead.com/wotlk/item=6263,https://www.wowhead.com/wotlk/spell=7639
4313,Red Woolen Boots,Feet,Cloth Armor,Uncommon,20,15,,Classic,World Drop,Tailoring,,95,,BoE,3847,https://www.wowhead.com/wotlk/item=4313,https://www.wowhead.com/wotlk/spell=3847
2585,Gray Woolen Robe,Chest,Cloth Armor,Uncommon,21,16,,Classic,World Drop,Tailoring,,105,,BoE,2403,https://www.wowhead.com/wotlk/item=2585,https://www.wowhead.com/wotlk/spell=2403
4311,Heavy Woolen Cloak,Back,Cloaks,Uncommon,21,16,,Classic,World Drop,Tailoring,,100,,BoE,3844,https://www.wowhead.com/wotlk/item=4311,https://www.wowhead.com/wotlk/spell=3844
4314,Double-stitched Woolen Shoulders,Shoulder,Cloth Armor,Uncommon,22,17,,Classic,Trainer,Tailoring,,110,,BoE,3848,https://www.wowhead.com/wotlk/item=4314,https://www.wowhead.com/wotlk/spell=3848
4316,Heavy Woolen Pants,Legs,Cloth Armor,Uncommon,22,17,,Classic,Trainer,Tailoring,,110,,BoE,3850,https://www.wowhead.com/wotlk/item=4316,https://www.wowhead.com/wotlk/spell=3850
6264,Greater Adept's Robe,Chest,Cloth Armor,Uncommon,23,18,,Classic,Vendor,Tailoring,,115,,BoE,7643,https://www.wowhead.com/wotlk/item=6264,https://www.wowhead.com/wotlk/spell=7643
4315,Reinforced Woolen Shoulders,Shoulder,Cloth Armor,Uncommon,24,19,,Classic,World Drop,Tailoring,,120,,BoE,3849,https://www.wowhead.com/wotlk/item=4315,https://www.wowhead.com/wotlk/spell=3849
4320,Spidersilk Boots,Feet,Cloth Armor,Rare,24,19,,Classic,Trainer,Tailoring,,125,,BoE,3855,https://www.wowhead.com/wotlk/item=4320,https://www.wowhead.com/wotlk/spell=3855
45626,Spidersilk Drape,Back,Cloaks,Rare,24,19,,Wrath of the Lich King,Trainer,Tailoring,,125,,BoE,63742,https://www.wowhead.com/wotlk/item=45626,https://www.wowhead.com/wotlk/spell=63742
4331,Phoenix Gloves,Hands,Cloth Armor,Uncommon,25,20,,Classic,World Drop,Tailoring,,125,,BoE,3868,https://www.wowhead.com/wotlk/item=4331,https://www.wowhead.com/wotlk/spell=3868
4317,Phoenix Pants,Legs,Cloth Armor,Uncommon,25,20,,Classic,World Drop,Tailoring,,125,,BoE,3851,https://www.wowhead.com/wotlk/item=4317,https://www.wowhead.com/wotlk/spell=3851
4318,Gloves of Meditation,Hands,Cloth Armor,Uncommon,26,21,,Classic,Trainer,Tailoring,,130,,BoE,3852,https://www.wowhead.com/wotlk/item=4318,https://www.wowhead.com/wotlk/spell=3852
5766,Lesser Wizard's Robe,Chest,Cloth Armor,Uncommon,27,22,,Classic,Trainer,Tailoring,,135,,BoE,6690,https://www.wowhead.com/wotlk/item=5766,https://www.wowhead.com/wotlk/spell=6690
7046,Azure Silk Pants,Legs,Cloth Armor,Uncommon,28,23,,Classic,Trainer,Tailoring,,140,,BoE,8758,https://www.wowhead.com/wotlk/item=7046,https://www.wowhead.com/wotlk/spell=8758
4321,Spider Silk Slippers,Feet,Cloth Armor,Uncommon,28,23,,Classic,World Drop,Tailoring,,140,,BoE,3856,https://www.wowhead.com/wotlk/item=4321,https://www.wowhead.com/wotlk/spell=3856
4319,Azure Silk Gloves,Hands,Cloth Armor,Uncommon,29,24,,Classic,Vendor,Tailoring,,145,,BoE,3854,https://www.wowhead.com/wotlk/item=4319,https://www.wowhead.com/wotlk/spell=3854
7048,Azure Silk Hood,Head,Cloth Armor,Uncommon,29,24,,Classic,Trainer,Tailoring,,145,,BoE,8760,https://www.wowhead.com/wotlk/item=7048,https://www.wowhead.com/wotlk/spell=8760
7047,Hands of Darkness,Hands,Cloth Armor,Uncommon,29,24,,Classic,World Drop,Tailoring,,145,,BoE,8780,https://www.wowhead.com/wotlk/item=7047,https://www.wowhead.com/wotlk/spell=8780
4324,Azure Silk Vest,Chest,Cloth Armor,Uncommon,30,25,,Classic,Trainer,Tailoring,,150,,BoE,3859,https://www.wowhead.com/wotlk/item=4324,https://www.wowhead.com/wotlk/spell=3859
5770,Robes of Arcana,Chest,Cloth Armor,Uncommon,30,25,,Classic,Mob Drop,Tailoring,,150,,BoE,6692,https://www.wowhead.com/wotlk/item=5770,https://www.wowhead.com/wotlk/spell=6692
7049,Truefaith Gloves,Hands,Cloth Armor,Uncommon,30,25,,Classic,World Drop,Tailoring,,150,,BoE,8782,https://www.wowhead.com/wotlk/item=7049,https://www.wowhead.com/wotlk/spell=8782
7050,Silk Headband,Head,Cloth Armor,Uncommon,32,27,,Classic,Trainer,Tailoring,,160,,BoE,8762,https://www.wowhead.com/wotlk/item=7050,https://www.wowhead.com/wotlk/spell=8762
4322,Enchanter's Cowl,Head,Cloth Armor,Uncommon,33,28,,Classic,Vendor,Tailoring,,165,,BoE,3857,https://www.wowhead.com/wotlk/item=4322,https://www.wowhead.com/wotlk/spell=3857
7065,Green Silk Armor,Chest,Cloth Armor,Uncommon,33,28,,Classic,World Drop,Tailoring,,165,,BoE,8784,https://www.wowhead.com/wotlk/item=7065,https://www.wowhead.com/wotlk/spell=8784
7051,Earthen Vest,Chest,Cloth Armor,Uncommon,34,29,,Classic,Trainer,Tailoring,,170,,BoE,8764,https://www.wowhead.com/wotlk/item=7051,https://www.wowhead.com/wotlk/spell=8764
4323,Shadow Hood,Head,Cloth Armor,Uncommon,34,29,,Classic,World Drop,Tailoring,,170,,BoE,3858,https://www.wowhead.com/wotlk/item=4323,https://www.wowhead.com/wotlk/spell=3858
7052,Azure Silk Belt,Waist,Cloth Armor,Uncommon,35,30,,Classic,Trainer,Tailoring,,175,,BoE,8766,https://www.wowhead.com/wotlk/item=7052,https://www.wowhead.com/wotlk/spell=8766
7053,Azure Silk Cloak,Back,Cloaks,Uncommon,35,30,,Classic,Vendor,Tailoring,,175,,BoE,8786,https://www.wowhead.com/wotlk/item=7053,https://www.wowhead.com/wotlk/spell=8786
4325,Boots of the Enchanter,Feet,Cloth Armor,Uncommon,35,30,,Classic,World Drop,Tailoring,,175,,BoE,3860,https://www.wowhead.com/wotlk/item=4325,https://www.wowhead.com/wotlk/spell=3860
7055,Crimson Silk Belt,Waist,Cloth Armor,Uncommon,35,30,,Classic,Trainer,Tailoring,,175,,BoE,8772,https://www.wowhead.com/wotlk/item=7055,https://www.wowhead.com/wotlk/spell=8772
7058,Crimson Silk Vest,Chest,Cloth Armor,Uncommon,35,30,,Classic,Trainer,Tailoring,,185,,BoE,8791,https://www.wowhead.com/wotlk/item=7058,https://www.wowhead.com/wotlk/spell=8791
7056,Crimson Silk Cloak,Back,Cloaks,Uncommon,36,31,,Classic,Vendor,Tailoring,,180,,BoE,8789,https://www.wowhead.com/wotlk/item=7056,https://www.wowhead.com/wotlk/spell=8789
7057,Green Silken Shoulders,Shoulder,Cloth Armor,Uncommon,36,31,,Classic,Trainer,Tailoring,,180,,BoE,8774,https://www.wowhead.com/wotlk/item=7057,https://www.wowhead.com/wotlk/spell=8774
4328,Spider Belt,Waist,Cloth Armor,Uncommon,36,31,,Classic,World Drop,Tailoring,,180,,BoE,3863,https://www.wowhead.com/wotlk/item=4328,https://www.wowhead.com/wotlk/spell=3863
4326,Long Silken Cloak,Back,Cloaks,Uncommon,37,32,,Classic,Trainer,Tailoring,,185,,BoE,3861,https://www.wowhead.com/wotlk/item=4326,https://www.wowhead.com/wotlk/spell=3861
7060,Azure Shoulders,Shoulder,Cloth Armor,Uncommon,38,33,,Classic,World Drop,Tailoring,,190,,BoE,8795,https://www.wowhead.com/wotlk/item=7060,https://www.wowhead.com/wotlk/spell=8795
7059,Crimson Silk Shoulders,Shoulder,Cloth Armor,Uncommon,38,33,,Classic,World Drop,Tailoring,,190,,BoE,8793,https://www.wowhead.com/wotlk/item=7059,https://www.wowhead.com/wotlk/spell=8793
