1	He walknside the building.
2	Use them on defeated Erratic Sentries.
3	Use them on floating orange globes around the Spirit Fields near the big crystal.
4	Use it on Felblood Initiates.
5	The Felblood Initiates will transform.
6	This will summon a Living Flare.
7	Flying on your flying mount will cause it to despawn and reset your progress.
8	Kill them until the Living Flare becomes unstable.
9	These drop from Mining veins, herbs, and skinned enemies.
10	Use profession farming guides to farm herbs in Outland zones.
11	Use profession farming guides to farm ore in Outland zones.
12	Use profession farming guides to farm leather in Outland zones.
13	This guide will reset when more become available.
14	Use it on the Emissary's corpse.
15	Fly to the Dead Scar.
16	Drop the bombs on enemies below you.
17	They look like small pink boxes on the ground around this area.
18	Drop the oil on the ship's sails.
19	Swim out to any of the three ships and run up the ramp on the side.
20	This quest requires you to donate ten gold in exchange for 150 Shattered Sun Offensive reputation.
21	Throw the orb on groups of murlocs around this area.
22	Use it on Razorthorn Ravager.
23	Once it is charmed, take it near dirt mounds and use the "Expose Razorthorn Root" ability on your pet bar.
24	They appear after being exposed by a Razorthorn Ravager.
25	They look like various dead NPCs on the ground around this area.
26	Keep opening them until you receive the plans.
27	You need to be in the Moonrest Gardens to use this.
28	Walk to the center of the platform.
29	Use it on the Ley Line Focus.
30	It looks like a large glowing half-circle.
31	He walks a clockwise circle around the Ley Line Focus.
32	Floating underwater.
33	It looks like a large glowing half-circle underwater.
34	Enemies will attack in waves.
35	Assist the NPCs in killing them.
36	NPCs will move to different areas periodically.
37	They look like red stones on the ground near bones and flower patches around this area.
38	They look like huge red dragons on fire.
39	In the middle of the temple.
40	Use "Flame Breath" and "Immolation" to deal damage.
41	"Blazing Speed" will provide you with a 100% speed boost.
42	Use "Renew" frequently to restore health.
43	Use the "Destabilize Azure Dragonshrine" ability on your vehicle bar.
44	Click the "Exit" button to exit the drake.
45	This costs 1,000 gold.
46	You will need flying to complete the "Aces High!" daily.
47	Under the large purple dome.
48	You need these to destroy dragon eggs.
49	They look like large eggs with blue crystals on them on the ground around this area.
50	Use it on a Nexus Drake Hatchling.
51	Stand here under the purple dome until it's captured.
52	On the eastern platform floating in the sky.
53	Using the third ability, "Revivify," build 5 stacks of the buff before engaging.
54	Spam the first ability, build 5 combo points.
55	Immediately use the fifth ability to shield yourself, then recast the third ability "Revivify."
56	Repeat the rotation 1, 1, 1, 1, 1, 5, 3 for each enemy.
57	Always maintain 5 stacks of "Revivify" and 4-5 combo point "Flame Shields."
58	Use the "Exit" button to dismount.
59	You will only be able to accept one quest each day.
60	Walk into the water with the debuff.
61	You must do this within three minutes.
62	A higher Fishing skill increases the chance of a drop.
63	Fish in the "Pool of Blood."
64	This guide will automatically reset when the dailies reset.
65	Your Cooking profession skill must be at least 350 to do Dalaran Cooking dailies.
66	They look like small blue-ish wine glasses sitting on tables and on the ground inside this building.
67	They look like small blue-ish green jugs sitting on the ground inside this building.
68	Kill Rabid Grizzlies and Blighted Elk.
69	You will need a cooking fire to cook with.
70	Click the line above to cook Northern Stew.
71	They look like grouped up blue mushrooms on the ground around this area.
72	You need this recipe to make a Mustard Dog Basket.
73	They look like small bushy yellow flowers on the ground around this area.
74	Click the line above to cook Rhino Dogs.
75	They look like carrots sticking out of the ground at the base of trees around this area.
76	Your Jewelcrafting profession skill must be at least 375 to do Dalaran Jewelcrafting dailies.
77	Prospect it from Northrend ore or purchase it from the auction house.
78	Cobalt Ore has the best chance to yield Chalcedony.
79	Cobalt Ore has the best chance to yield Dark Jade.
80	Cobalt Ore has the best chance to yield Bloodstone.
81	Cobalt Ore has the best chance to yield Huge Citrine.
82	They wander around the area in packs.
83	Cobalt Ore has the best chance to yield Shadow Crystal.
84	Cobalt Ore has the best chance to yield Sun Crystal.
85	It swims around the floating ice.
86	Use it on the Schools of Tasty Reef Fish.
87	This will cause a Reef Bull to come to the spot where you are standing.
88	Keep using them in 20 yard distances to lead it to a cow.
89	You should have plenty to lead it, but remember you only have 10 total.
90	They look like small brown baskets on the shore around these areas.
91	Pitch has to currently be dead for this quest to be offered.
92	Use it on Softknuckles around this area.
93	They look like small baby gorillas.
94	A Hardknuckle Matriarch will eventually spawn.
95	They run all over the village.
96	Use it on Chicken Escapees to prevent them from running.
97	Use this if Zepik is not standing next to you.
98	Use it next to the tall rectangle stone monument.
99	It appears after using the Skyreach Crystal Clusters.
100	It will spawn and attack after helping the Oracle.
101	Protect it as it returns to Rainspeaker Canopy.
102	Stay close and protect it as it returns to Rainspeaker Canopy.
103	Use this if Lafoo is not standing next to you.
104	It walks back and forth near the waterfall.
105	Stand on top of the twinkles of light on the ground all aroud Rainspeaker Canopy.
106	Lafoo will dig up the treasure.
107	He will boot you off the cliff to safety in the water.
108	He comes walking up on a red proto-drake.
109	Zeptek the Destroyer will attack you too.
110	Use this if Moodle is not standing next to you.
111	You will only be able to save some of them.
112	Begin by attacking Artruis until he shields himself.
113	Killing Jaloot will start your path with the Frenzyheart Tribe.
114	Killing Zepik the Gorloc Hunter will allow you to ally yourself with The Oracles.
115	Once you kill Zepik the Gorloc Hunter, finish off Artruis.
116	If you make a mistake, abandon the quest and accept it from Moodle again using his Stress Ball.
117	In the small hut.
118	Use it at the top of the giant rock pillar.
119	When the Aqueous Spirits are weak, use the "Devour Water" ability to eat them.
120	After eating an Aqueous Spirit, you will turn into Haiphoon's Water Form.
121	When the Storm Revenants are weak, use the "Devour Wind" ability to eat them.
122	After eating a Storm Revenant, you will turn into Haiphoon's Air Form.
123	Use it next to Soaked Fertile Dirt piles.
124	They look like mounds of dirt with small trees growing out of them on the ground around this area.
125	You can skip this step if you want to kill 50 enemies without the help of the Spirit Beast.
126	Use the crystals to help you defeat Frenzyheart enemies around this area.
127	Click the "Exit" button on your vehicle bar.
128	Killing Zepik the Gorloc Hunter will start your path with The Oracles.
129	Killing Jaloot will allow you to ally yourself with the Frenzyheart Tribe.
130	Once you kill Jaloot, finish off Artruis.
131	Use it on the corpse of a Sapphire Hive Wasp.
132	Use it on the corpse of a Hardknuckle Charger.
133	Use it on the corpse of Mistwhisper enemies you kill.
134	Use it while standing in the water at the top of the giant stone pillar.
135	They look like large stone statues walking around this area.
136	Use it on the corpses of Stormwatchers you kill.
137	Stand next to the tall stone altar.
138	You may even need to rub against or stand next to it so that you are touching it.
139	Use your traps near Oracles mobs around this area.
140	Up on the mountain in Sifreldar Village.
141	She walks back and forth down the side tunnels to the north and south.
142	She does not walk up or down the ramps.
143	They are sitting on the ground in side tunnels inside the mine.
144	They will attack you after disciplining them.
145	Some tunnels have two levels.
146	They are always the ones standing alone.
147	Use the "Flaming Arrow" ability on your vehicle bar.
148	Icefang will do one full pass and then return to Brijana.
