1	Click Milly's Harvest barrels around the vineyard
2	Milly's Harvest look like barrels of grapes.
3	Go into the church and up the spiral staircase to the very top
4	Hearth to Northshire Valley
5	Go northeast inside the mine to 41.3,79.1
6	Explore the Fargodeep Mine
7	Go northwest into the Fargodeep Mine to 38.3,81.6
8	Enter using the lower entrance
9	Follow the path inside the cave to 41.7,78.3
10	Go outside to 42.1,67.3
11	Click the small stacks of wood at the base of trees
12	They look like little stacks of 3 firewood at the base of trees in this area.
13	Click the Half-Eaten body
14	On the ground next to some big rocks by the river and a tree.
15	Click Rolf's Corpse
16	On the ground next to a murloc hut.
17	Kill Princess
18	Go inside the mine to 60.4,49.7
19	Explore the Jasperlode Mine
20	Hearth to Goldshire
21	Fight Bartleby until you beat him
22	Go outside to Elwynn Forest
23	Go northwest to Stormwind
24	Go downstairs into the catacombs to 39.1,84.3
25	Use your Bloodstone Choker while standing on the pink Summoning Circle
26	In the catacombs below The Slaughtered Lamb.
27	Go upstairs to 39.2,85.3
28	Ride the train to Ironforge
29	Go outside to Dun Morogh
30	Go inside the cave to 70.7,56.5
31	Go outside to 68.7,56.0
32	Go east to Loch Modan
33	Hearth to Thelsamar
34	He wanders around town
35	Fly to Stormwind
36	Ride the boat to Auberdine
37	Click the Beached Sea Creature
38	It looks like a big green rotting dinosaur laying on the beach.
39	Click Buzzbox 827
40	It looks like a mechanical box with levers on it sitting in the grass next to a big wooden platform.
41	Click the Skeletal Sea Turtle
42	It looks like a big turtle skull underwater here.
43	Find a corrupt furbolg camp at this spot
44	Click the Buzzbox 411
45	It's a metal box with levers on it, sitting on the beach.
46	Hearth to Auberdine
47	Ride the boat to Stormwind Harbor
48	Click the Tome of Divinity in your bags
49	Make sure you have 10 Linen Cloth
50	If you do not already have it, buy 10 Linen Cloth from the Auction House.
51	Click the Symbol of Life in your bags to resurrect Henze Faulk
52	Go west to Stormwind
53	Go southwest to Westfall
54	Go up the huge spiral ramp to 58.7,40.5
55	Go up the huge spiral ramp to 58.6,40.3
56	Click Moonpetal Lilies
57	The Moonpetal Lillies look like tall flower with orange petals around the pond here.
58	Go into the cave at 56.8,31.7
59	Follow the path in the middle, then go left
60	Go up to the ledge above
61	Click a Webwood Egg
62	Follow the ramp to the top of the tree
63	Use your Crystal Phial in the moonwell water
64	Go to the top of the big tree
65	Use your Jade Phial in the moonwell water
66	Click Tallonkai's Dresser
67	To the right in the small house.
68	Click Fel Cones
69	They are big, brown, green smoking pine cones at the base of trees.
70	Click Timberling Sprouts
71	They are brown and green bulbs on the ground.
